Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CYD,China Yuchai International Limited,11.3,$431.61M,1994,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cyd
ZX,China Zenix Auto International Limited,0.6801,$35.11M,2011,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/zx
CMG,Chipotle Mexican Grill Inc.,551.75,$17.21B,2006,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cmg
CHH,Choice Hotels International Inc.,50.21,$2.84B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/chh
CBK,Christopher & Banks Corporation,1.09,$40.63M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/cbk
CB,Chubb Corporation (The),132.2,$30.02B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cb
CHT,Chunghwa Telecom Co. Ltd.,30.21,$23.44B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cht
CHD,Church & Dwight Company Inc.,87.07,$11.42B,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/chd
CBR,Ciber Inc.,3.57,$283.6M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/cbr
CIEN,Ciena Corporation,24.66,$3.32B,1997,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cien
CI,Cigna Corporation,137.79,$35.49B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ci
XEC,Cimarex Energy Co,105.97,$10.02B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xec
CBB,Cincinnati Bell Inc,3.59,$753.42M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cbb
CBB^B,Cincinnati Bell Inc,49.06,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cbb^b
CNK,Cinemark Holdings Inc,34,$3.94B,2007,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/cnk
CINR,Ciner Resources LP,22.01,$430.89M,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/cinr
CIR,CIRCOR International Inc.,44.95,$741M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/cir
CIT,CIT Group Inc (DEL),43.29,$8.7B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cit
BLW,Citigroup Inc.,14.09,$521.31M,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/blw
C,Citigroup Inc.,54.4,$162.06B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c
C.WS.A,Citigroup Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c.ws.a
C^C,Citigroup Inc.,25.57,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^c
C^J,Citigroup Inc.,28.22,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^j
C^K,Citigroup Inc.,27.31,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c^k
C^L,Citigroup Inc.,26.86,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^l
C^N,Citigroup Inc.,26,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c^n
C^P,Citigroup Inc.,28.13,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^p
CFG,Citizens Financial Group Inc.,26.51,$13.99B,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/cfg
CIA,Citizens Inc.,8.74,$437.72M,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/cia
CIO,City Office REIT Inc.,11.28,$141.2M,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cio
CVEO,Civeo Corporation,1.43,$153.68M,2014,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cveo
CIVI,Civitas Solutions Inc.,25.41,$939.39M,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/civi
CLC,CLARCOR Inc.,48.78,$2.43B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/clc
CWEI,Clayton Williams Energy Inc.,47.73,$580.85M,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cwei
CLH,Clean Harbors Inc.,41.55,$2.39B,n/a,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/clh
CCO,Clear Channel Outdoor Holdings Inc.,4.82,$1.74B,2005,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cco
CBA           ,ClearBridge American Energy MLP Fund Inc.,7.97,$464.56M,2013,n/a,n/a,http://www.nasdaq.com/symbol/cba           
CEM,ClearBridge Energy MLP Fund Inc.,14.36,$993.79M,2010,n/a,n/a,http://www.nasdaq.com/symbol/cem
EMO,ClearBridge Energy MLP Opportunity Fund Inc.,11.36,$351.26M,2011,n/a,n/a,http://www.nasdaq.com/symbol/emo
CTR,ClearBridge Energy MLP Total Return Fund Inc.,11.67,$447.02M,2012,n/a,n/a,http://www.nasdaq.com/symbol/ctr
CLW,Clearwater Paper Corporation,46.85,$832.7M,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/clw
CNL,Cleco Corporation,51.69,$3.13B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cnl
CLF,Cliffs Natural Resources Inc.,2.14,$328.32M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/clf
CLV,Cliffs Natural Resources Inc.,1.98,$303.78M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/clv
CLX,Clorox Company (The),129.33,$16.7B,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/clx
CLD,Cloud Peak Energy Inc,2.51,$153.54M,2009,Energy,Coal Mining,http://www.nasdaq.com/symbol/cld
MYCC,ClubCorp Holdings Inc.,17.68,$1.14B,2013,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mycc
CMS,CMS Energy Corporation,35.5,$9.86B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/cms
CMS^B,CMS Energy Corporation,99.5001,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/cms^b
CNA,CNA Financial Corporation,36.61,$9.89B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cna
CNHI,CNH Industrial N.V.,7.23,$12.83B,2013,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cnhi
CNO,CNO Financial Group Inc.,19.92,$3.7B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/cno
CEO,CNOOC Limited,106.64,$1.06B,2001,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ceo
CNXC,CNX Coal Resources LP,10.16,$235.94M,2015,Energy,Coal Mining,http://www.nasdaq.com/symbol/cnxc
COH,Coach Inc.,31.07,$8.62B,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/coh
CIE,Cobalt International Energy Inc.,6.82,$2.83B,2009,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cie
KOF,Coca Cola Femsa S.A.B. de C.V.,75.17,$15.58B,1993,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/kof
KO,Coca-Cola Company (The),43.2,$187.88B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/ko
CCE,Coca-Cola Enterprises Inc.,49.72,$11.28B,1986,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/cce
CDE,Coeur Mining Inc.,2.64,$361.57M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cde
FOF,Cohen & Steers Closed-End Opportunity Fund Inc.,10.98,$298.76M,2006,n/a,n/a,http://www.nasdaq.com/symbol/fof
INB,Cohen & Steers Global Income Builder Inc.,9.89,$227.79M,2007,n/a,n/a,http://www.nasdaq.com/symbol/inb
UTF,Cohen & Steers Infrastructure Fund Inc,18.59,$1.59B,2004,n/a,n/a,http://www.nasdaq.com/symbol/utf
LDP,Cohen & Steers Limited Duration Preferred and Income Fund Inc,22.15,$638.6M,2012,n/a,n/a,http://www.nasdaq.com/symbol/ldp
MIE,Cohen & Steers MLP Income and Energy Opportunity Fund Inc.,8.64,$232.02M,2013,n/a,n/a,http://www.nasdaq.com/symbol/mie
RQI,Cohen & Steers Quality Income Realty Fund Inc,11.41,$1.25B,2002,n/a,n/a,http://www.nasdaq.com/symbol/rqi
RNP,Cohen & Steers Reit and Preferred Income Fund Inc,17.8,$850.3M,2003,n/a,n/a,http://www.nasdaq.com/symbol/rnp
PSF,Cohen & Steers Select Preferred and Income Fund Inc.,24.58,$294.7M,2010,n/a,n/a,http://www.nasdaq.com/symbol/psf
RFI,Cohen & Steers Total Return Realty Fund Inc.,12.58,$120.6M,1993,n/a,n/a,http://www.nasdaq.com/symbol/rfi
CNS,Cohn & Steers Inc,31.07,$1.41B,2004,Finance,Investment Managers,http://www.nasdaq.com/symbol/cns
CFX,Colfax Corporation,24.97,$3.1B,2008,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/cfx
CL,Colgate-Palmolive Company,66.34,$59.5B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/cl
CXE,Colonial High Income Municipal Trust,4.84,$152.48M,1989,n/a,n/a,http://www.nasdaq.com/symbol/cxe
CIF,Colonial Intermediate High Income Fund,2.3,$48.51M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cif
CXH,Colonial Investment Grade Municipal Trust,9.67,$112.05M,1989,n/a,n/a,http://www.nasdaq.com/symbol/cxh
CMU,Colonial Municipal Income Trust,4.49,$127.04M,1987,n/a,n/a,http://www.nasdaq.com/symbol/cmu
CLNY,Colony Capital Inc,19.63,$2.2B,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/clny
CLNY^A,Colony Capital Inc,26.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clny^a
CLNY^B,Colony Capital Inc,24.7025,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clny^b
CLNY^C,Colony Capital Inc,21.88,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clny^c
CPGX,Columbia Pipeline Group Inc.,17.97,$5.71B,2015,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/cpgx
CPPL,Columbia Pipeline Partners LP,12.81,$1.29B,2015,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/cppl
CXP,Columbia Property Trust Inc.,24.25,$3.02B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cxp
STK,Columbia Seligman Premium Technology Growth Fund Inc,18.32,$279.84M,2009,n/a,n/a,http://www.nasdaq.com/symbol/stk
CCV,Comcast Corporation,25.83,n/a,2012,Consumer Services,Television Services,http://www.nasdaq.com/symbol/ccv
CCZ,Comcast Corporation,45.1,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/ccz
CMA,Comerica Incorporated,44.32,$7.83B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cma
CMA.WS,Comerica Incorporated,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cma.ws
FIX,Comfort Systems USA Inc.,33.61,$1.26B,1997,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/fix
CMC,Commercial Metals Company,14.44,$1.68B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/cmc
CBU,Community Bank System Inc.,42,$1.73B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbu
CYH,Community Health Systems Inc.,26.21,$3.1B,2000,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyh
CHCT,Community Healthcare Trust Incorporated,18.3,$139.02M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/chct
CIG,Comp En De Mn Cemig ADS,1.65,$2.08B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cig
CIG.C,Comp En De Mn Cemig ADS,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cig.c
CBD,Companhia Brasileira de Distribuicao,12.34,$3.28B,1997,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/cbd
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,4.77,$3.26B,2002,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/sbs
ELP,Companhia Paranaense de Energia (COPEL),7.16,$1.96B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/elp
CCU,Compania Cervecerias Unidas S.A.,22.62,$4.18B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/ccu
CODI,Compass Diversified Holdings,16.07,$872.6M,2006,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/codi
CMP,Compass Minerals International Inc.,84.1,$2.83B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/cmp
CSC,Computer Sciences Corporation,30.78,$4.27B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/csc
CRK,Comstock Resources Inc.,1.83,$87.33M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crk
CAG,ConAgra Foods Inc.,40.77,$17.65B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/cag
CXO,Concho Resources Inc.,99.59,$12.86B,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cxo
CCM,Concord Medical Services Holdings Limited,4.66,$209.45M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/ccm
CNNX,Cone Midstream Partners LP,10,$583.26M,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/cnnx
COP,ConocoPhillips,48.99,$60.49B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cop
CNX,CONSOL Energy Inc.,6.56,$1.5B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/cnx
ED,Consolidated Edison Inc,62.78,$18.41B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ed
STZ,Constellation Brands Inc,141.8,$27.86B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/stz
STZ.B,Constellation Brands Inc,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/stz.b
CSTM,Constellium N.V.,8.22,$863.32M,2013,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/cstm
TCS,Container Store (The),9.92,$476.03M,2013,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/tcs
CBPX,Continental Building Products Inc.,18.26,$770.57M,2014,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cbpx
CLR,Continental Resources Inc.,29.01,$10.82B,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/clr
VLRS,Controladora Vuela Compania de Aviacion S.A.B. de C.V.,18.15,$1.84B,2013,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/vlrs
CVG,Convergys Corporation,25.08,$2.45B,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/cvg
COO,Cooper Companies Inc. (The),132.33,$6.43B,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/coo
CTB,Cooper Tire & Rubber Company,41.15,$2.31B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/ctb
CPS,Cooper-Standard Holdings Inc.,80.15,$1.4B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cps
CPA,Copa Holdings S.A.,49.18,$2.14B,2005,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/cpa
CLB,Core Laboratories N.V.,109.32,$4.63B,1995,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/clb
CLGX,CoreLogic Inc.,37.07,$3.27B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/clgx
CORR,CorEnergy Infrastructure Trust Inc.,17.56,$209.42M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/corr
CORR^A,CorEnergy Infrastructure Trust Inc.,15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/corr^a
COR,CoreSite Realty Corporation,57.68,$1.54B,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cor
COR^A,CoreSite Realty Corporation,25.93,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cor^a
GLW,Corning Incorporated,18.04,$21.34B,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/glw
BCA,Corpbanca,12.5,$2.84B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bca
GYC,Corporate Asset Backed Corp CABCO,22.4834,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gyc
OFC,Corporate Office Properties Trust,21.55,$2.04B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ofc
OFC^L,Corporate Office Properties Trust,25.6217,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ofc^l
CXW,Corrections Corporation of America,25.45,$2.98B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cxw
CZZ,Cosan Limited,3.84,$1.02B,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/czz
CMRE,Costamare Inc.,10.47,$787.85M,2010,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/cmre
CMRE^B,Costamare Inc.,15.07,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^b
CMRE^C,Costamare Inc.,15.93,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^c
CMRE^D,Costamare Inc.,15.82,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^d
COT,Cott Corporation,10.31,$1.13B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/cot
COTY,Coty Inc.,27.31,$9.48B,2013,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/coty
CCSC,Country Style Cooking Restaurant Chain Co. Ltd.,4.7,$126.62M,2010,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/ccsc
CFC^A,Countrywide Financial Corporation,25.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfc^a
CFC^B,Countrywide Financial Corporation,25.76,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfc^b
CUZ,Cousins Properties Incorporated,9.18,$1.97B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cuz
CVA,Covanta Holding Corporation,15.06,$2.01B,n/a,Basic Industries,Electric Utilities: Central,http://www.nasdaq.com/symbol/cva
CPF,CPB Inc.,22.19,$695.23M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cpf
CPL,CPFL Energia S.A.,8.25,$4.1B,2004,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cpl
CR,Crane Company,50.65,$2.94B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/cr
CRD.A,Crawford & Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.a
CRD.B,Crawford & Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.b
BAP,Credicorp Ltd.,105.97,$8.45B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bap
CS,Credit Suisse Group,22.12,$36.76B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cs
CPG,Crescent Point Energy Corporation,11.57,$5.84B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpg
CEQP,Crestwood Equity Partners LP,14.53,$996.13M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ceqp
CRH,CRH PLC,29.61,$24.35B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/crh
CRT,Cross Timbers Royalty Trust,13.71,$82.26M,1992,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crt
CAPL,CrossAmerica Partners LP,22.17,$737.35M,2012,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/capl
CCI,Crown Castle International Corporation,86.44,$28.85B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cci
CCI^A,Crown Castle International Corporation,106.54,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cci^a
CCK,Crown Holdings Inc.,50.88,$7.09B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cck
CRY,CryoLife Inc.,10.58,$301.05M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cry
CSRA,CSRA Inc.,28.63,$3.97B,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/csra
CSS,CSS Industries Inc.,28.64,$258.64M,n/a,Consumer Services,Consumer: Greeting Cards,http://www.nasdaq.com/symbol/css
CST,CST Brands Inc.,36.82,$2.78B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cst
CSX,CSX Corporation,26.03,$25.38B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/csx
CTS,CTS Corporation,19.23,$627.62M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/cts
CUBE,CubeSmart,29.4,$5.07B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cube
CUBE^A,CubeSmart,26.19,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cube^a
CUB,Cubic Corporation,48.27,$1.3B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cub
CFR,Cullen/Frost Bankers Inc.,66.16,$4.12B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cfr
CFR^A,Cullen/Frost Bankers Inc.,25.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfr^a
CFI,Culp Inc.,27.46,$338.82M,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/cfi
CMI,Cummins Inc.,91.41,$16.24B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cmi
CW,Curtiss-Wright Corporation,70.07,$3.2B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cw
SRF,Cushing Energy Income Fund (The),9.105,"$875,600.54 ",2012,n/a,n/a,http://www.nasdaq.com/symbol/srf
SZC,Cushing Renaissance Fund (The),14.59,$88.33M,2012,n/a,n/a,http://www.nasdaq.com/symbol/szc
CUBI,Customers Bancorp Inc,28.53,$766.95M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubi
CUBI^C,Customers Bancorp Inc,26.2499,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^c
CUBS,Customers Bancorp Inc,26.54,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubs
CSI,Cutwater Select Income Fund,18.71,$200.36M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/csi
CVT,CVENT INC.,36.88,$1.55B,1987,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvt
CVI,CVR Energy Inc.,43.03,$3.74B,2007,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvi
UAN,CVR Partners LP,7.8,$570.36M,2011,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/uan
CVRR,CVR Refining LP,20.87,$3.08B,2013,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvrr
CVS,CVS Health Corporation,96.34,$106.68B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/cvs
CELP,Cypress Energy Partners L.P.,7.92,$93.72M,2014,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/celp
CYS,CYS Investments Inc.,7.26,$1.12B,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cys
CYS^A,CYS Investments Inc.,22.43,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cys^a
CYS^B,CYS Investments Inc.,21.64,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cys^b
CYT,Cytec Industries Inc.,75.15,$5.38B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cyt
DHI,D.R. Horton Inc.,32.92,$12.14B,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/dhi
DAN,Dana Holding Corporation,15.28,$2.34B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dan
DHR,Danaher Corporation,96.3,$65.99B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dhr
DAC,Danaos Corporation,5.54,$608.19M,2006,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dac
DQ,DAQO New Energy Corp.,17.74,$158.65M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/dq
DRI,Darden Restaurants Inc.,58.92,$7.55B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dri
DAR,Darling Ingredients Inc.,10.68,$1.76B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/dar
DVA,DaVita healthCare Partners Inc.,71.55,$15.1B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dva
DPM,DCP Midstream Partners LP,21.32,$2.45B,2005,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/dpm
DCT,DCT Industrial Trust Inc,37.89,$3.35B,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dct
DDR,DDR Corp.,16.65,$6.03B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ddr
DDR^J,DDR Corp.,26,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddr^j
DDR^K,DDR Corp.,25.34,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddr^k
DF,Dean Foods Company,18.68,$1.71B,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/df
DECK,Deckers Outdoor Corporation,50.63,$1.64B,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/deck
DE,Deere & Company,79.1,$25.96B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/de
DEX,Delaware Enhanced Global Dividend,9.47,$150.23M,2007,n/a,n/a,http://www.nasdaq.com/symbol/dex
DDF,Delaware Investments Dividend & Income Fund Inc.,8.8223,$79.11M,1993,n/a,n/a,http://www.nasdaq.com/symbol/ddf
DKL,Delek Logistics Partners L.P.,33.23,$805.83M,2012,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/dkl
DK,Delek US Holdings Inc.,26.25,$1.63B,2006,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/dk
DLPH,Delphi Automotive plc,86.53,$24.24B,2011,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dlph
DAL,Delta Air Lines Inc.,51.78,$40.72B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/dal
DEL,Deltic Timber Corporation,62.4,$775.6M,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/del
DLX,Deluxe Corporation,59.32,$2.92B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/dlx
DMD,Demand Media Inc.,5.75,$115.42M,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/dmd
